date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:48	53691/53691	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:10%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-tab-style-top.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-tab-style-top.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:49	53693/53693	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:10%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-tab-style-right.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-tab-style-right.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:49	53692/53692	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:10%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-tab-style-left.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-tab-style-left.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:50	55080/55080	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:08%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-group.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-group.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:50	58357/58357	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:09%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-sale.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-sale.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:51	53673/53673	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:08%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-normal.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-normal.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:52	47725/47725	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/cart.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/cart.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:52	48830/48830	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:58%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/compare.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/compare.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:52	3215/3215	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:56%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/404.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/404.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:52	53087/53087	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:25:07%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-affiliate.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/single-product-affiliate.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:53	59490/59490	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/blog.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/blog.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
13:31:53	59456/59456	---MCZ	200	added ('OK')	text/html	date:Sun,%2014%20Oct%202018%2009:24:57%20GMT	https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/blog-right-sidebar.html	E:/Template/retail/retail_full/d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/blog-right-sidebar.html	(from https://d29u17ylf1ylz9.cloudfront.net/tienda-v4/tienda/index2.html)
